Time,Channel A,Channel B
(ms),(V),(V)

0.00798281,0.33879800,0.08612204
0.00799881,0.47167200,0.08612204
0.00801481,0.60423850,0.08612204
0.00803081,0.73618970,0.08612204
0.00804681,0.86721830,0.08612204
0.00806281,0.99701650,0.08612204
0.00807881,1.12543100,0.08612204
0.00809481,1.25184500,0.08612204
0.00811081,1.37641500,0.08612204
0.00812681,1.49883100,0.08612204
0.00814281,1.61847900,0.08612204
0.00815881,1.73551300,0.08612204
0.00817481,1.84947100,0.08612204
0.00819081,1.96035300,0.08612204
0.00820681,2.06769800,0.08612204
0.00822281,2.17150600,0.08612204
0.00823881,2.27162300,0.08612204
0.00825481,2.36789500,0.08612204
0.00827081,2.46016900,0.08612204
0.00828681,2.54844400,0.08612204
0.00830281,2.63256600,0.08612204
0.00831881,2.71222900,0.00000000
0.00833481,2.78774000,0.08612204
0.00835081,2.85894400,0.08612204
0.00836681,2.92584300,0.00000000
0.00838281,2.98828100,0.08612204
0.00839881,3.04656700,0.08612204
0.00841481,3.10054800,0.08612204
0.00843081,3.15052900,0.08612204
0.00844681,3.19635800,0.08612204
0.00846281,3.23834300,0.08612204
0.00847881,3.27632900,0.08612204
0.00849481,3.31062400,0.08612204
0.00851081,3.34138200,0.08612204
0.00852681,3.36875600,0.08612204
0.00854281,3.39290100,0.08612204
0.00855881,3.41397000,0.08612204
0.00857481,3.43227100,0.08612204
0.00859081,3.44795800,0.08612204
0.00860681,3.46133700,0.08612204
0.00862281,3.47225600,0.08612204
0.00863881,3.48148400,0.08612204
0.00865481,3.48886600,0.08612204
0.00867081,3.49471000,0.08612204
0.00868681,3.49932300,0.08612204
0.00870281,3.50286100,0.08612204
0.00871881,3.50562900,0.08612204
0.00873481,3.50778200,0.08612204
0.00875081,3.50962700,0.08612204
0.00876681,3.51116500,0.08612204
0.00878281,3.51285700,0.08612204
0.00879881,3.51485600,0.08612204
0.00881481,3.51762400,0.08612204
0.00883081,3.52116100,0.08612204
0.00884681,3.52300700,0.08612204
0.00886281,3.52208400,0.08612204
0.00887881,3.52100800,0.08612204
0.00889481,3.52070000,0.08612204
0.00891081,3.52131500,0.08612204
0.00892681,3.52300700,0.08612204
0.00894281,3.52562100,0.08612204
0.00895881,3.52931200,0.08612204
0.00897481,3.53392600,0.08612204
0.00899081,3.53946200,0.08612204
0.00900681,3.54576800,0.08612204
0.00902281,3.55038100,0.08612204
0.00903881,3.55391900,0.08612204
0.00905481,3.55637900,0.08612204
0.00907081,3.55807100,0.08612204
0.00908681,3.55960900,0.08612204
0.00910281,3.56114700,0.08612204
0.00911881,3.56222300,0.08612204
0.00913481,3.56283800,0.08612204
0.00915081,3.56283800,0.08612204
0.00916681,3.56176200,0.08612204
0.00918281,3.55976200,0.00000000
0.00919881,3.55622500,0.08612204
0.00921481,3.55099700,0.08612204
0.00923081,3.54407600,0.08612204
0.00924681,3.53469500,0.08612204
0.00926281,3.52316100,0.08612204
0.00927881,3.50870400,0.08612204
0.00929481,3.49148000,0.08612204
0.00931081,3.47118000,0.08612204
0.00932681,3.44749600,0.08612204
0.00934281,3.42089100,0.08612204
0.00935881,3.39336300,0.08612204
0.00937481,3.36398900,0.08612204
0.00939081,3.33215400,0.08612204
0.00940681,3.29755200,0.08612204
0.00942281,3.25941200,0.08612204
0.00943881,3.21773500,0.08612204
0.00945481,3.17236700,0.08612204
0.00947081,3.12361600,0.08612204
0.00948681,3.07163500,0.08612204
0.00950281,3.01673200,0.08612204
0.00951881,2.95875400,0.08612204
0.00953481,2.89816100,0.08612204
0.00955081,2.83510700,0.08612204
0.00956681,2.76990000,0.08612204
0.00958281,2.70284800,0.08612204
0.00959881,2.63425800,0.08612204
0.00961481,2.56413000,0.08612204
0.00963081,2.49323300,0.08612204
0.00964681,2.42156700,0.08612204
0.00966281,2.34959400,0.08612204
0.00967881,2.27762100,0.08612204
0.00969481,2.20595500,0.08612204
0.00971081,2.13444300,0.08612204
0.00972681,2.06200800,0.08612204
0.00974281,1.98972700,0.08612204
0.00975881,1.91775300,0.08612204
0.00977481,1.84639500,0.08612204
0.00979081,1.77580600,0.08612204
0.00980681,1.70675400,0.08612204
0.00982281,1.64016400,0.08612204
0.00983881,1.57572600,0.08612204
0.00985481,1.51359500,0.08612204
0.00987081,1.45407800,0.08612204
0.00988681,1.39702300,0.08612204
